pos,name,gameDate,team,opp,salary,fppg,fpmax,fpmin,floor,ceil,average
"PG","Aaron Brooks","2015-11-13","CHI","CHA","4200","15.94","25.6","6.4","10.25","21.62","15.935"
"PF","Aaron Gordon","2015-11-13","ORL","UTA","3800","16.76","31.1","3.4","8.34","25.17","16.755"
"PF","Adreian Payne","2015-11-13","MIN","IND","3600","12.9","19","2","5.17","20.63","12.9"
"C","Al Horford","2015-11-13","ATL","BOS","7700","34.55","44.1","26.7","28.92","40.18","34.55"
"C","Al Jefferson","2015-11-13","CHA","CHI","6700","25.79","43.3","13","17.26","34.32","25.79"
"SF","Al-Farouq Aminu","2015-11-13","POR","MEM","5800","25.57","31.3","19.3","21.51","29.62","25.565"
"SG","Alec Burks","2015-11-13","UTA","ORL","5500","24.5","31.1","12.2","18.22","30.78","24.5"
"C","Alexis Ajinca","2015-11-13","NOP","TOR","3500","10.08","16.5","4.4","5.96","14.19","10.075"
"SG","Allen Crabbe","2015-11-13","POR","MEM","3600","12.36","23.4","4.6","7.03","17.69","12.36"
"SF","Alonzo Gee","2015-11-13","NOP","TOR","3500","8.69","18.5","1.2","2.68","14.69","8.685"
"C","Amir Johnson","2015-11-13","BOS","ATL","4700","16.36","27.9","6.3","9.45","23.26","16.355"
"C","Anderson Varejao","2015-11-13","CLE","NYK","3500","5.66","12","-2","1.07","10.24","5.655"
"PG","Andre Miller","2015-11-13","MIN","IND","3500","8.2","18.6","2.5","0.83","15.57","8.2"
"SG","Andre Roberson","2015-11-13","OKC","PHI","3500","11.39","20.9","0.4","5.42","17.35","11.385"
"C","Andrea Bargnani","2015-11-13","BKN","SAC","3500","8.36","28.4","-1","-0.17","16.9","8.365"
"PF","Andrew Nicholson","2015-11-13","ORL","UTA","3500","0.2","0.2","0.2","0.2","0.2","0.2"
"SF","Andrew Wiggins","2015-11-13","MIN","IND","7200","26.64","44","8.2","15.52","37.77","26.645"
"PF","Anthony Bennett","2015-11-13","TOR","NOP","3500","5.04","7.2","3.4","3.47","6.61","5.04"
"SF","Anthony Brown","2015-11-13","LAL","DAL","3500","3.5","5","2","2","5","3.5"
"PF","Anthony Davis","2015-11-13","NOP","TOR","10700","43.37","72.5","29.2","29.69","57.06","43.375"
"SG","Anthony Morrow","2015-11-13","OKC","PHI","3500","6.9","13.1","1","2.5","11.3","6.9"
"SG","Arron Afflalo","2015-11-13","NYK","CLE","4600","20.7","20.7","20.7","20.7","20.7","20.7"
"SG","Avery Bradley","2015-11-13","BOS","ATL","5500","18.6","31.5","7.1","9.17","28.03","18.6"
"SG","Ben McLemore","2015-11-13","SAC","BKN","3500","8.98","24.8","1.2","2.3","15.65","8.975"
"C","Bismack Biyombo","2015-11-13","TOR","NOP","4000","15.4","28","9.2","10.34","20.46","15.4"
"PF","Bobby Portis","2015-11-13","CHI","CHA","3500","8.95","11.4","6.5","6.5","11.4","8.95"
"SF","Bojan Bogdanovic","2015-11-13","BKN","SAC","4200","17.15","36.3","7.2","7.99","26.31","17.15"
"C","Brandan Wright","2015-11-13","MEM","POR","3700","14.11","28.7","2","6.41","21.82","14.115"
"PF","Brandon Bass","2015-11-13","LAL","DAL","3600","10.33","19","3.2","5.69","14.97","10.33"
"PG","Brian Roberts","2015-11-13","CHA","CHI","3500","3.22","7.7","1","0.71","5.73","3.22"
"C","Brook Lopez","2015-11-13","BKN","SAC","8000","34.03","44.7","26","26.84","41.21","34.025"
"SG","C.J. McCollum","2015-11-13","POR","MEM","6400","29.26","47.7","21.2","21.72","36.79","29.255"
"SF","C.J. Miles","2015-11-13","IND","MIN","4700","19.05","24.5","13.4","14.54","23.56","19.05"
"PG","C.J. Watson","2015-11-13","ORL","UTA","3600","13.28","22.5","4.5","7.28","19.27","13.275"
