ATL|[6, 16, 17, 12, 16, 5, 6, 8, 7, 10, 6, 5, 6, 12, 15, 16, 10, 10, 14, 14, 14, 14, 14, 14, 10, 9, 8, 7, 6, 7, 8, 10, 9, 10, 11, 10, 11, 11, 10, 11, 10, 11, 11, 10, 9, 8, 8, 7, 8, 8, 7, 7, 6, 8, 8, 8, 8, 8, 7, 8, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 4, 4, 5]
BOS|[12, 8, 1, 2, 4, 9, 12, 9, 12, 17, 16, 11, 10, 10, 11, 17, 12, 12, 10, 8, 7, 7, 8, 8, 8, 11, 10, 10, 11, 15, 14, 14, 13, 14, 13, 14, 13, 10, 12, 12, 13, 13, 13, 13, 13, 13, 14, 14, 15, 14, 14, 15, 16, 14, 15, 14, 15, 14, 15, 14, 13, 14, 13, 15, 15, 14, 14, 14, 15, 17, 16, 17, 16, 18, 18, 18, 17, 17, 20, 21, 21, 21]
NJN|[4, 13, 11, 5, 11, 11, 20, 21, 20, 22, 20, 22, 20, 22, 23, 25, 25, 25, 24, 24, 25, 25, 25, 25, 25, 25, 25, 25, 24, 24, 24, 24, 24, 24, 23, 24, 25, 25, 25, 26, 25, 26, 24, 23, 26, 26, 25, 24, 22, 22, 22, 22, 20, 21, 21, 20, 22, 21, 22, 21, 20, 18, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 20, 20, 21, 18, 18, 18]
CHA|[8, 7, 15, 18, 17, 19, 16, 17, 8, 12, 13, 15, 15, 13, 12, 10, 9, 11, 9, 11, 11, 12, 13, 10, 12, 10, 12, 8, 8, 11, 11, 11, 10, 9, 7, 7, 7, 5, 7, 6, 5, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 7, 7, 8, 7, 8, 8, 6, 7]
CHI|[2, 1, 4, 1, 3, 2, 2, 2, 1, 1, 1, 2, 2, 1, 2, 3, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 5, 5, 7, 8, 9, 8, 9, 9, 9, 9, 10, 9, 9, 8, 10, 9, 9, 9, 7, 8, 7, 7, 5, 8, 6, 8, 8, 8, 8, 9, 8, 8, 8, 8, 9, 10, 9, 10, 10, 10, 9]
CLE|[19, 19, 24, 20, 21, 20, 18, 12, 15, 11, 8, 8, 5, 5, 7, 12, 11, 8, 11, 12, 9, 10, 9, 10, 9, 8, 7, 8, 9, 8, 10, 9, 7, 7, 6, 6, 5, 7, 5, 5, 6, 8, 9, 11, 11, 11, 11, 12, 12, 12, 11, 11, 11, 11, 12, 12, 11, 11, 12, 12, 12, 12, 12, 12, 12, 11, 11, 12, 12, 10, 10, 10, 10, 11, 11, 11, 11, 11, 11, 11, 12, 13]
DAL|[10, 20, 20, 29, 27, 28, 29, 29, 29, 29, 28, 27, 28, 27, 29, 27, 29, 28, 28, 27, 27, 27, 26, 26, 26, 26, 26, 26, 26, 26, 25, 26, 25, 25, 24, 25, 24, 24, 24, 22, 22, 22, 21, 22, 22, 22, 22, 21, 21, 21, 21, 21, 22, 22, 21, 22, 20, 22, 23, 23, 23, 23, 24, 24, 24, 24, 24, 24, 24, 24, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]
DEN|[29, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 29, 27, 28, 29, 28, 27, 27, 28, 28, 28, 29, 27, 27, 29, 28, 29, 29, 29, 30, 27, 28, 29, 29, 29, 30, 29, 29, 29, 30, 29, 30, 29, 27, 28, 29, 29, 29, 29, 27, 27, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 27, 28, 27, 28, 28, 28, 28, 29, 29, 27]
DET|[5, 11, 3, 7, 13, 14, 9, 11, 10, 14, 12, 12, 13, 7, 7, 6, 6, 9, 12, 10, 12, 13, 12, 13, 16, 15, 15, 14, 15, 12, 12, 12, 14, 12, 12, 13, 14, 14, 14, 15, 15, 14, 14, 15, 15, 15, 15, 14, 14, 15, 13, 13, 12, 13, 13, 13, 13, 13, 13, 13, 14, 14, 15, 14, 16, 16, 15, 16, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14]
GSW|[28, 28, 27, 24, 25, 25, 26, 25, 25, 25, 24, 24, 23, 21, 20, 19, 20, 18, 18, 20, 18, 17, 16, 17, 17, 17, 16, 16, 17, 17, 16, 15, 15, 15, 15, 17, 16, 16, 17, 18, 19, 20, 20, 18, 19, 19, 19, 19, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 19, 19, 19, 18, 18, 18, 18, 18, 18, 18, 18, 17, 16, 17, 16, 16, 16, 16, 16, 16, 15, 15, 15]
